LEI,Name
01ERPZV3DOLNXY2MLB90,"Libertyville Bank & Trust Company, National Association"
029200067A7K6CH0H586,CENTRAL SECURITIES CLEARING SYSTEM PLC
0292001167H3Q0GH7D41,CSL STOCKBROKERS LIMITED
0292001381F1R1IB5B85,STANBIC IBTC STOCKBROKERS LIMITED
0292001868F6N5VI5G15,GUARANTY TRUST BANK PLC
0292002067E3RH4D8768,UNITED BANK FOR AFRICA PLC
0292002317A4R1YH0E14,SUNTRUST BANK NIGERIA LIMITED
029200261G6Q56G8FG36,UNION BANK OF NIGERIA PLC
0292002658J9P5CI9J88,FSDH MERCHANT BANK LIMITED
029200268F8M5YI5I629,ZENITH BANK PLC
0292002717G4T0CH6E65,FBNQUEST MERCHANT BANK LIMITED
029200272C8R6X82I858,CORONATION MERCHANT BANK LIMITED
029200298A5K5WI0F567,FIDELITY BANK PLC
029200328C3N9YI2D660,ACCESS BANK PLC
0292003420A1T0UA0B05,INDORAMA ELEME FERTILIZER & CHEMICALS LIMITED
029200343C4N7D2E6H83,CITIBANK NIGERIA LIMITED
0292003440E3M3A4D637,UNITY BANK PLC
029200364B8N6X9F1I18,RAND MERCHANT BANK NIGERIA LIMITED
0292003737D4P1AH3E44,EFG HERMES NIGERIA LIMITED
029200378B3O1B9I1D22,TITAN TRUST BANK LIMITED
0292003898E7N8V6I421,NOVA COMMERCIAL BANK LIMITED
029200421B2S3W5N1C65,LOTUS BANK LIMITED
0292004258F9P7WI5J25,GREENWICH MERCHANT BANK LIMITED
0292004535H2Q4BF7C84,JAIZ BANK PLC
0292004905B9O1DF1J36,INTERSWITCH LIMITED
0292004918J0S8WI9A13,PROVIDUS BANK LIMITED
029200494H3E7D4H3E24,WEMA BANK PLC
029200648E6L8VI4G586,SKYE BANK PLC
029200807D9MH3J67D65,STERLING BANK PLC
02Q37D0NZ4LRWNCY0996,"AVENUE CAPITAL MANAGEMENT II, L.P."
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association"
041IN8UC0WSUI58P8Q64,ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.
06BTX5UWZD0GQ5N5Y745,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION
073LKXEKEP6T62NK2G42,CITI BANK UGANDA LIMITED
07F5H7W3ET8ZLWNMFP29,STATE STREET GLOBAL ADVISORS EUROPE LIMITED
08C2IQ0VM1B2PBTVHC56,"RED HAT, LLC"
097900BEF50000000569,"Prvá stavebná sporiteľňa, a. s."
